date,lastSyncTime,steps,distance,runDistance,calories
2020-06-07,1593782379,1336,862,142,33
2020-06-08,1593782377,0,0,0,0
2020-06-09,1593782377,0,0,0,0
2020-06-10,1593782388,0,0,0,0
2020-06-11,1593782387,0,0,0,0
2020-06-12,1593782387,1361,875,88,30
2020-06-13,1593782381,28,18,2,1
2020-06-14,1593782382,22,14,5,1
2020-06-15,1593782380,0,0,0,0
2020-06-16,1593782381,0,0,0,0
2020-06-17,1593782383,334,213,22,8
2020-06-18,1593782386,0,0,0,0
2020-06-19,1593782382,0,0,0,0
2020-06-20,1593782379,1397,897,46,29
2020-06-21,1593782380,0,0,0,0
2020-06-22,1593782379,0,0,0,0
2020-07-03,1597401167,3970,2675,23,95
2020-07-04,1597401168,5353,3514,75,124
2020-07-05,1597401165,5144,3417,27,114
2020-07-06,1597401166,0,0,0,0
2020-07-07,1597401169,0,0,0,0
2020-07-08,1597401169,0,0,0,0
2020-07-09,1597401169,0,0,0,0
2020-07-10,1597401173,0,0,0,0
2020-07-11,1597401174,0,0,0,0
2020-07-12,1597401173,0,0,0,0
2020-07-13,1597401173,0,0,0,0
2020-07-14,1597401168,0,0,0,0
2020-07-15,1597401168,0,0,0,0
2020-07-16,1597401166,0,0,0,0
2020-07-17,1597401167,0,0,0,0
2020-07-18,1597401169,0,0,0,0
2020-07-19,1597401170,0,0,0,0
2020-07-20,1597401173,0,0,0,0
2020-07-21,1597401173,0,0,0,0
2020-07-22,1597401174,0,0,0,0
2020-07-23,1597401173,49,31,0,1
2020-08-14,1601464230,1865,1191,107,43
2020-08-15,1601464230,0,0,0,0
2020-08-16,1601464230,0,0,0,0
2020-08-17,1601464229,0,0,0,0
2020-08-18,1601464229,0,0,0,0
2020-09-30,1601892753,41,26,9,1
2020-10-01,1601892754,0,0,0,0
2020-10-02,1601892753,0,0,0,0
2020-10-03,1601892751,0,0,0,0
2020-10-04,1601892750,0,0,0,0
2020-10-05,1603084596,0,0,0,0
2020-10-06,1603084595,0,0,0,0
2020-10-07,1603084594,1045,672,50,23
2020-10-08,1603084594,0,0,0,0
2020-10-09,1603084595,0,0,0,0
2020-10-10,1603084596,2410,1587,150,53
2020-10-11,1603084596,11,7,0,1
2020-10-12,1603084596,0,0,0,0
2020-10-13,1603084596,0,0,0,0
2020-10-14,1603084595,0,0,0,0
2020-10-15,1603084595,0,0,0,0
2020-10-16,1603084596,0,0,0,0
2020-10-17,1603084595,1212,824,60,27
2020-10-18,1603084595,0,0,0,0
2020-10-19,1606828794,694,455,0,26
2020-10-20,1606828796,1078,689,0,36
2020-10-21,1606828796,1941,1249,0,49
2020-10-22,1606828795,2336,1492,0,58
2020-10-23,1606828796,600,383,0,26
2020-10-24,1606828796,2609,1678,0,57
2020-10-25,1606828795,3072,1962,0,66
2020-10-26,1606828794,2847,1867,0,70
2020-10-27,1606828795,3966,2654,0,93
2020-10-28,1606828795,3219,2149,0,84
2020-10-29,1606828794,3601,2330,0,90
2020-10-30,1606828796,3094,2088,0,78
2020-10-31,1606828796,8587,5738,0,185
2020-11-01,1606828796,8528,5870,0,204
2020-11-02,1606828795,1432,940,0,38
2020-11-03,1606828796,1759,1124,0,43
2020-11-04,1606828795,3508,2432,0,89
2020-11-05,1606828795,2676,1757,0,58
2020-11-06,1606828794,6486,4856,0,187
2020-11-07,1606828795,7769,5567,0,215
2020-11-08,1606828794,2148,1372,0,55
2020-11-09,1606828794,2394,1609,0,61
2020-11-10,1606828797,2790,1940,0,68
2020-11-11,1605274698,0,0,0,0
2020-11-12,1605274698,0,0,0,0
2020-11-13,1605443299,8215,5273,629,186
2020-11-14,1605443299,9991,6412,377,207
2020-11-15,1605791221,5578,3592,185,120
2020-11-16,1605791221,6641,4244,302,143
2020-11-17,1605791220,0,0,0,0
2020-11-18,1605791220,6158,4118,23,298
2020-11-19,1606071506,3388,2168,124,72
2020-11-20,1606071508,0,0,0,0
2020-11-21,1606071508,9533,6192,382,207
2020-11-22,1606071507,15047,9786,553,325
2020-11-23,1606310194,873,570,9,20
2020-11-24,1606310193,0,0,0,0
2020-11-25,1606645136,0,0,0,0
2020-11-26,1606645134,69,44,9,1
2020-11-27,1606645134,0,0,0,0
2020-11-28,1606645133,5504,3547,192,113
2020-11-29,1606755077,8536,5522,355,183
2020-11-30,1606793467,0,0,0,0
2020-12-01,1607090902,613,392,0,14
2020-12-02,1607090902,0,0,0,0
2020-12-03,1607090903,2963,2021,60,70
2020-12-04,1607166570,2145,1386,82,50
2020-12-05,1607236660,2249,1462,77,47
2020-12-06,1607315529,3727,2431,133,83
2020-12-07,1607413391,0,0,0,0
2020-12-08,1607452296,839,536,77,21
2020-12-09,1607569584,6314,4216,250,153
2020-12-10,1607625967,4260,2786,282,110
2020-12-11,1607750083,2780,1776,306,73
2020-12-12,1607833047,3271,2090,325,74
2020-12-13,1607858853,1513,967,128,35
