date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2020-06-07,1593782379,0,0,0,1591381800,1591381800
2020-06-08,1593782377,0,0,0,1591468200,1591468200
2020-06-09,1593782377,0,0,0,1591554600,1591554600
2020-06-10,1593782388,0,0,0,1591641000,1591641000
2020-06-11,1593782387,0,0,0,1591727400,1591727400
2020-06-12,1593782387,0,0,0,1591813800,1591813800
2020-06-13,1593782381,0,0,0,1591900200,1591900200
2020-06-14,1593782382,0,0,0,1591986600,1591986600
2020-06-15,1593782380,0,0,0,1592073000,1592073000
2020-06-16,1593782381,0,0,0,1592159400,1592159400
2020-06-17,1593782383,0,0,0,1592245800,1592245800
2020-06-18,1593782386,0,0,0,1592332200,1592332200
2020-06-19,1593782382,0,0,0,1592418600,1592418600
2020-06-20,1593782379,0,0,0,1592505000,1592505000
2020-06-21,1593782380,0,0,0,1592591400,1592591400
2020-06-22,1593782379,0,0,0,1592677800,1592677800
2020-07-03,1597401167,0,0,0,1593628200,1593628200
2020-07-04,1597401168,0,0,0,1593714600,1593714600
2020-07-05,1597401165,0,0,0,1593801000,1593801000
2020-07-06,1597401166,0,0,0,1593887400,1593887400
2020-07-07,1597401169,0,0,0,1593973800,1593973800
2020-07-08,1597401169,0,0,0,1594060200,1594060200
2020-07-09,1597401169,0,0,0,1594146600,1594146600
2020-07-10,1597401173,0,0,0,1594233000,1594233000
2020-07-11,1597401174,0,0,0,1594319400,1594319400
2020-07-12,1597401173,0,0,0,1594405800,1594405800
2020-07-13,1597401173,0,0,0,1594492200,1594492200
2020-07-14,1597401168,0,0,0,1594578600,1594578600
2020-07-15,1597401168,0,0,0,1594665000,1594665000
2020-07-16,1597401166,0,0,0,1594751400,1594751400
2020-07-17,1597401167,0,0,0,1594837800,1594837800
2020-07-18,1597401169,0,0,0,1594924200,1594924200
2020-07-19,1597401170,0,0,0,1595010600,1595010600
2020-07-20,1597401173,0,0,0,1595097000,1595097000
2020-07-21,1597401173,0,0,0,1595183400,1595183400
2020-07-22,1597401174,0,0,0,1595269800,1595269800
2020-07-23,1597401173,0,0,0,1595356200,1595356200
2020-08-14,1601464230,0,0,0,1597257000,1597257000
2020-08-15,1601464230,0,0,0,1597343400,1597343400
2020-08-16,1601464230,0,0,0,1597429800,1597429800
2020-08-17,1601464229,0,0,0,1597516200,1597516200
2020-08-18,1601464229,0,0,0,1597602600,1597602600
2020-09-30,1601892753,0,0,0,1601317800,1601317800
2020-10-01,1601892754,0,0,0,1601404200,1601404200
2020-10-02,1601892753,0,0,0,1601490600,1601490600
2020-10-03,1601892751,0,0,0,1601577000,1601577000
2020-10-04,1601892750,0,0,0,1601663400,1601663400
2020-10-05,1603084596,0,0,0,1601749800,1601749800
2020-10-06,1603084595,0,0,0,1601836200,1601836200
2020-10-07,1603084594,0,0,0,1601922600,1601922600
2020-10-08,1603084594,0,0,0,1602009000,1602009000
2020-10-09,1603084595,0,0,0,1602095400,1602095400
2020-10-10,1603084596,0,0,0,1602181800,1602181800
2020-10-11,1603084596,0,0,0,1602268200,1602268200
2020-10-12,1603084596,0,0,0,1602354600,1602354600
2020-10-13,1603084596,0,0,0,1602441000,1602441000
2020-10-14,1603084595,0,0,0,1602527400,1602527400
2020-10-15,1603084595,0,0,0,1602613800,1602613800
2020-10-16,1603084596,0,0,0,1602700200,1602700200
2020-10-17,1603084595,0,0,0,1602786600,1602786600
2020-10-18,1603084595,0,0,0,1602873000,1602873000
2020-10-19,1606828794,0,0,0,1602959400,1602959400
2020-10-20,1606828796,0,0,0,1603045800,1603045800
2020-10-21,1606828796,0,0,0,1603132200,1603132200
2020-10-22,1606828795,0,0,0,1603218600,1603218600
2020-10-23,1606828796,0,0,0,1603305000,1603305000
2020-10-24,1606828796,0,0,0,1603391400,1603391400
2020-10-25,1606828795,0,0,0,1603477800,1603477800
2020-10-26,1606828794,0,0,0,1603564200,1603564200
2020-10-27,1606828795,0,0,0,1603650600,1603650600
2020-10-28,1606828795,0,0,0,1603737000,1603737000
2020-10-29,1606828794,0,0,0,1603823400,1603823400
2020-10-30,1606828796,0,0,0,1603909800,1603909800
2020-10-31,1606828796,0,0,0,1603996200,1603996200
2020-11-01,1606828796,0,0,0,1604082600,1604082600
2020-11-02,1606828795,0,0,0,1604169000,1604169000
2020-11-03,1606828796,0,0,0,1604255400,1604255400
2020-11-04,1606828795,0,0,0,1604341800,1604341800
2020-11-05,1606828795,0,0,0,1604428200,1604428200
2020-11-06,1606828794,0,0,0,1604514600,1604514600
2020-11-07,1606828795,0,0,0,1604601000,1604601000
2020-11-08,1606828794,0,0,0,1604687400,1604687400
2020-11-09,1606828794,0,0,0,1604773800,1604773800
2020-11-10,1606828797,0,0,0,1604860200,1604860200
2020-11-11,1605274698,0,0,0,1604946600,1604946600
2020-11-12,1605274698,0,0,0,1605033000,1605033000
2020-11-13,1605443299,0,0,0,1605119400,1605119400
2020-11-14,1605443299,0,0,0,1605205800,1605205800
2020-11-15,1605791221,0,0,0,1605292200,1605292200
2020-11-16,1605791221,0,0,0,1605378600,1605378600
2020-11-17,1605791220,0,0,0,1605465000,1605465000
2020-11-18,1605791220,0,0,0,1605551400,1605551400
2020-11-19,1606071506,0,0,0,1605637800,1605637800
2020-11-20,1606071508,0,0,0,1605724200,1605724200
2020-11-21,1606071508,0,0,0,1605810600,1605810600
2020-11-22,1606071507,0,0,0,1605897000,1605897000
2020-11-23,1606310194,0,0,0,1605983400,1605983400
2020-11-24,1606310193,0,0,0,1606069800,1606069800
2020-11-25,1606645136,0,0,0,1606156200,1606156200
2020-11-26,1606645134,0,0,0,1606242600,1606242600
2020-11-27,1606645134,0,0,0,1606329000,1606329000
2020-11-28,1606645133,0,0,0,1606415400,1606415400
2020-11-29,1606755077,0,0,0,1606501800,1606501800
2020-11-30,1606793467,0,0,0,1606588200,1606588200
2020-12-01,1607090902,0,0,0,1606674600,1606674600
2020-12-02,1607090902,0,0,0,1606761000,1606761000
2020-12-03,1607090903,0,0,0,1606847400,1606847400
2020-12-04,1607166570,0,0,0,1606933800,1606933800
2020-12-05,1607236660,0,0,0,1607020200,1607020200
2020-12-06,1607315529,0,0,0,1607106600,1607106600
2020-12-07,1607413391,0,0,0,1607193000,1607193000
2020-12-08,1607452296,0,0,0,1607279400,1607279400
2020-12-09,1607569584,103,204,0,1607456400,1607480220
2020-12-10,1607625967,85,261,0,1607541240,1607567820
2020-12-11,1607750083,84,295,0,1607627040,1607653320
2020-12-12,1607833047,77,290,0,1607714880,1607742360
2020-12-13,1607858853,100,318,0,1607800200,1607830380
